issue_key,url,summary,issue_type,status,priority,assignee_login,assignee_account_id,story_points,created_date,updated_date
ATLAS-1403,https://acmebank.atlassian.net/browse/ATLAS-1403,Fix validator failure when scheduler file arrives late,Task,To Do,Medium,asharma,5f8a1c001,1,2026-07-11,2026-08-01
ATLAS-1407,https://acmebank.atlassian.net/browse/ATLAS-1407,Upgrade library used by date handling,Story,To Do,Highest,asharma,5f8a1c001,3,2026-08-03,2026-08-04
ATLAS-1409,https://acmebank.atlassian.net/browse/ATLAS-1409,Reduce memory footprint of warehouse load step,Story,Blocked,Highest,asharma,5f8a1c001,1,2026-07-22,2026-08-10
ATLAS-1418,https://acmebank.atlassian.net/browse/ATLAS-1418,Upgrade library used by SLA alert,Story,To Do,Medium,asharma,5f8a1c001,3,2026-06-12,2026-06-21
ATLAS-1421,https://acmebank.atlassian.net/browse/ATLAS-1421,Add monitoring for GL export validator,Bug,In Review,Medium,asharma,5f8a1c001,5,2026-07-30,2026-08-09
ATLAS-1422,https://acmebank.atlassian.net/browse/ATLAS-1422,Handle duplicate records in statement gen,Task,To Do,Medium,asharma,5f8a1c001,3,2026-06-27,2026-07-11
ATLAS-1427,https://acmebank.atlassian.net/browse/ATLAS-1427,Add monitoring for posting cache,Task,To Do,Medium,jchen,5f8a1c002,5,2026-07-21,2026-07-27
ATLAS-1435,https://acmebank.atlassian.net/browse/ATLAS-1435,Fix batch step failure when scheduler file arrives late,Story,In Review,High,jchen,5f8a1c002,1,2026-07-18,2026-08-07
ATLAS-1443,https://acmebank.atlassian.net/browse/ATLAS-1443,Fix cache failure when scheduler file arrives late,Task,In Progress,Medium,jchen,5f8a1c002,5,2026-07-10,2026-07-12
ATLAS-1451,https://acmebank.atlassian.net/browse/ATLAS-1451,Fix file writer failure when risk calc file arrives late,Story,In Progress,Low,jchen,5f8a1c002,1,2026-06-29,2026-07-29
ATLAS-1456,https://acmebank.atlassian.net/browse/ATLAS-1456,Backfill historical data for risk calc,Bug,Blocked,Medium,jchen,5f8a1c002,5,2026-06-25,2026-08-01
ATLAS-1457,https://acmebank.atlassian.net/browse/ATLAS-1457,Reduce memory footprint of posting step,Story,In Progress,Medium,jchen,5f8a1c002,2,2026-07-07,2026-07-30
ATLAS-1461,https://acmebank.atlassian.net/browse/ATLAS-1461,Backfill historical data for posting,Bug,To Do,Medium,mrodriguez,5f8a1c003,8,2026-07-11,2026-07-24
ATLAS-1464,https://acmebank.atlassian.net/browse/ATLAS-1464,Handle duplicate records in risk calc,Bug,Blocked,Low,mrodriguez,5f8a1c003,8,2026-06-14,2026-07-12
ATLAS-1471,https://acmebank.atlassian.net/browse/ATLAS-1471,Migrate settlement job to new scheduler,Story,In Progress,Medium,mrodriguez,5f8a1c003,1,2026-07-22,2026-07-27
ATLAS-1474,https://acmebank.atlassian.net/browse/ATLAS-1474,Migrate statement gen job to new scheduler,Task,To Do,Medium,mrodriguez,5f8a1c003,1,2026-07-20,2026-07-30
ATLAS-1477,https://acmebank.atlassian.net/browse/ATLAS-1477,Improve feed loader throughput for month-end volumes,Bug,In Progress,Medium,mrodriguez,5f8a1c003,5,2026-06-22,2026-07-25
ATLAS-1479,https://acmebank.atlassian.net/browse/ATLAS-1479,Add monitoring for posting date handling,Bug,In Progress,Medium,kpatel,5f8a1c004,1,2026-07-06,2026-08-01
ATLAS-1480,https://acmebank.atlassian.net/browse/ATLAS-1480,Migrate scheduler job to new scheduler,Task,To Do,Highest,kpatel,5f8a1c004,5,2026-07-30,2026-07-31
ATLAS-1484,https://acmebank.atlassian.net/browse/ATLAS-1484,Refactor cache used by GL export,Task,To Do,Highest,kpatel,5f8a1c004,2,2026-06-27,2026-07-22
ATLAS-1492,https://acmebank.atlassian.net/browse/ATLAS-1492,Refactor retry logic used by posting,Story,In Review,Low,kpatel,5f8a1c004,3,2026-07-07,2026-08-07
ATLAS-1497,https://acmebank.atlassian.net/browse/ATLAS-1497,Improve recon throughput for month-end volumes,Task,In Progress,Medium,kpatel,5f8a1c004,5,2026-07-06,2026-07-17
ATLAS-1498,https://acmebank.atlassian.net/browse/ATLAS-1498,Fix rounding failure when worklog sync file arrives late,Task,To Do,High,kpatel,5f8a1c004,3,2026-06-18,2026-07-22
ATLAS-1504,https://acmebank.atlassian.net/browse/ATLAS-1504,Handle duplicate records in scheduler,Story,To Do,High,kpatel,5f8a1c004,5,2026-06-17,2026-07-02
