worklog_id,issue_key,author_login,started_date,time_spent_hours
90042,ATLAS-1418,asharma,2026-07-28,1.5
90045,ATLAS-1407,asharma,2026-07-28,2.0
90049,ATLAS-1418,asharma,2026-07-28,0.5
90077,ATLAS-1421,asharma,2026-07-28,4.0
90350,ATLAS-1538,dokafor,2026-07-28,0.5
90357,ATLAS-1530,dokafor,2026-07-28,1.5
90413,ATLAS-1540,dokafor,2026-07-28,1.0
90417,ATLAS-1538,dokafor,2026-07-28,1.5
90665,ATLAS-1670,efoster,2026-07-28,1.0
90686,ATLAS-1673,efoster,2026-07-28,1.0
90217,ATLAS-1497,kpatel,2026-07-28,1.0
90473,ATLAS-1561,lmuller,2026-07-28,4.0
90174,ATLAS-1464,mrodriguez,2026-07-28,1.0
90198,ATLAS-1461,mrodriguez,2026-07-28,2.0
90201,ATLAS-1461,mrodriguez,2026-07-28,4.0
90583,ATLAS-1633,rgupta,2026-07-28,1.0
90273,ATLAS-1527,tnguyen,2026-07-28,1.0
90285,ATLAS-1516,tnguyen,2026-07-28,2.0
90005,ATLAS-1418,asharma,2026-07-29,4.0
90010,ATLAS-1421,asharma,2026-07-29,0.5
90021,ATLAS-1403,asharma,2026-07-29,0.5
90074,ATLAS-1407,asharma,2026-07-29,2.0
90367,ATLAS-1530,dokafor,2026-07-29,1.0
90403,ATLAS-1530,dokafor,2026-07-29,1.0
90422,ATLAS-1530,dokafor,2026-07-29,2.0
90426,ATLAS-1544,dokafor,2026-07-29,0.5
90645,ATLAS-1687,efoster,2026-07-29,2.0
90658,ATLAS-1660,efoster,2026-07-29,1.5
90669,ATLAS-1684,efoster,2026-07-29,1.0
90681,ATLAS-1660,efoster,2026-07-29,2.0
90703,ATLAS-1687,efoster,2026-07-29,2.0
90110,ATLAS-1435,jchen,2026-07-29,2.0
90116,ATLAS-1427,jchen,2026-07-29,1.0
90212,ATLAS-1480,kpatel,2026-07-29,3.0
90445,ATLAS-1564,lmuller,2026-07-29,0.5
90483,ATLAS-1552,lmuller,2026-07-29,2.0
90486,ATLAS-1573,lmuller,2026-07-29,1.0
90489,ATLAS-1582,lmuller,2026-07-29,2.5
90176,ATLAS-1477,mrodriguez,2026-07-29,3.0
90184,ATLAS-1474,mrodriguez,2026-07-29,0.5
90564,ATLAS-1633,rgupta,2026-07-29,2.0
90571,ATLAS-1641,rgupta,2026-07-29,4.0
90596,ATLAS-1652,rgupta,2026-07-29,1.0
90506,ATLAS-1607,swilson,2026-07-29,0.5
90527,ATLAS-1626,swilson,2026-07-29,3.0
90529,ATLAS-1621,swilson,2026-07-29,1.5
90543,ATLAS-1619,swilson,2026-07-29,2.5
90300,ATLAS-1518,tnguyen,2026-07-29,1.0
90054,ATLAS-1407,asharma,2026-07-30,4.0
90059,ATLAS-1409,asharma,2026-07-30,1.0
90070,ATLAS-1422,asharma,2026-07-30,2.5
90361,ATLAS-1538,dokafor,2026-07-30,1.0
90674,ATLAS-1684,efoster,2026-07-30,2.0
90080,ATLAS-1443,jchen,2026-07-30,2.5
90121,ATLAS-1427,jchen,2026-07-30,4.0
90215,ATLAS-1484,kpatel,2026-07-30,2.0
90222,ATLAS-1492,kpatel,2026-07-30,0.5
90233,ATLAS-1504,kpatel,2026-07-30,2.0
90438,ATLAS-1561,lmuller,2026-07-30,3.0
90440,ATLAS-1564,lmuller,2026-07-30,1.0
90203,ATLAS-1461,mrodriguez,2026-07-30,2.0
90205,ATLAS-1471,mrodriguez,2026-07-30,4.0
90602,ATLAS-1633,rgupta,2026-07-30,1.0
90622,ATLAS-1646,rgupta,2026-07-30,1.5
90507,ATLAS-1598,swilson,2026-07-30,0.5
90521,ATLAS-1596,swilson,2026-07-30,1.0
90281,ATLAS-1511,tnguyen,2026-07-30,2.0
90313,ATLAS-1511,tnguyen,2026-07-30,1.0
90318,ATLAS-1518,tnguyen,2026-07-30,1.5
90336,ATLAS-1527,tnguyen,2026-07-30,1.0
90340,ATLAS-1527,tnguyen,2026-07-30,1.5
90041,ATLAS-1403,asharma,2026-07-31,2.0
90375,ATLAS-1544,dokafor,2026-07-31,2.0
90406,ATLAS-1538,dokafor,2026-07-31,1.5
90649,ATLAS-1687,efoster,2026-07-31,0.5
90692,ATLAS-1660,efoster,2026-07-31,1.0
90119,ATLAS-1443,jchen,2026-07-31,1.0
90144,ATLAS-1427,jchen,2026-07-31,1.5
90261,ATLAS-1484,kpatel,2026-07-31,2.5
90262,ATLAS-1479,kpatel,2026-07-31,1.0
90478,ATLAS-1552,lmuller,2026-07-31,2.0
90479,ATLAS-1561,lmuller,2026-07-31,2.0
90166,ATLAS-1471,mrodriguez,2026-07-31,2.5
90570,ATLAS-1638,rgupta,2026-07-31,1.5
90514,ATLAS-1619,swilson,2026-07-31,1.0
90522,ATLAS-1621,swilson,2026-07-31,0.5
90531,ATLAS-1598,swilson,2026-07-31,1.0
90296,ATLAS-1511,tnguyen,2026-07-31,0.5
90002,ATLAS-1421,asharma,2026-08-03,3.0
90016,ATLAS-1422,asharma,2026-08-03,2.5
90353,ATLAS-1530,dokafor,2026-08-03,1.5
90356,ATLAS-1538,dokafor,2026-08-03,2.0
90378,ATLAS-1538,dokafor,2026-08-03,0.5
90391,ATLAS-1538,dokafor,2026-08-03,1.0
90411,ATLAS-1530,dokafor,2026-08-03,2.5
90687,ATLAS-1687,efoster,2026-08-03,2.0
90088,ATLAS-1451,jchen,2026-08-03,1.0
90096,ATLAS-1427,jchen,2026-08-03,2.5
90150,ATLAS-1427,jchen,2026-08-03,2.0
90243,ATLAS-1492,kpatel,2026-08-03,1.0
90255,ATLAS-1498,kpatel,2026-08-03,2.0
